"","Country","Year","Area","Metier","Gear","Vessel_length","kw_days","Days_at_sea","FU","lvl4"
"710","BEL",2012,"27.7.f","OTB_CRU_70-99_0_0_all","OTB","24<40",7332,12,NA,"OTB_CRU"
"711","BEL",2012,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",36039,55,NA,"OTB_CRU"
"712","BEL",2012,"27.7.e","SSC_DEF_70-99_0_0_all","SSC","10<24",221,1,NA,"SSC_DEF"
"713","BEL",2012,"27.7.e","SSC_DEF_70-99_0_0_all","SSC","24<40",21058,18,NA,"SSC_DEF"
"714","BEL",2012,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","10<24",4420,20,NA,"TBB_DEF"
"715","BEL",2012,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",86388,80,NA,"TBB_DEF"
"716","BEL",2012,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","24<40",195255,170,NA,"TBB_DEF"
"717","BEL",2012,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",385142,354,NA,"TBB_DEF"
"718","BEL",2012,"27.7.h","TBB_DEF_70-99_0_0_all","TBB","24<40",5905,5,NA,"TBB_DEF"
"719","BEL",2012,"27.7.e","MIS_MIS_0_0_0_HC","MIS","24<40",24494,37,NA,"MIS_MIS"
"720","BEL",2012,"27.7.e","OTB_CRU_70-99_0_0_all","OTB","10<24",887,1,NA,"OTB_CRU"
"721","BEL",2012,"27.7.e","SSC_DEF_70-99_0_0_all","SSC","24<40",40219,36,NA,"SSC_DEF"
"722","BEL",2012,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","10<24",3978,18,NA,"TBB_DEF"
"723","BEL",2012,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",247686,239,NA,"TBB_DEF"
"724","BEL",2012,"27.7.e","MIS_MIS_0_0_0_HC","MIS","24<40",23832,36,NA,"MIS_MIS"
"725","BEL",2012,"27.7.e","OTB_CRU_70-99_0_0_all","OTB","24<40",4480,5,NA,"OTB_CRU"
"726","BEL",2012,"27.7.e","SSC_DEF_70-99_0_0_all","SSC","24<40",8245,8,NA,"SSC_DEF"
"727","BEL",2012,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",46472,45,NA,"TBB_DEF"
"728","BEL",2012,"27.7.e","MIS_MIS_0_0_0_HC","MIS","24<40",20522,31,NA,"MIS_MIS"
"729","BEL",2012,"27.7.e","OTB_CRU_70-99_0_0_all","OTB","24<40",7881,8,NA,"OTB_CRU"
"730","BEL",2012,"27.7.e","SSC_DEF_70-99_0_0_all","SSC","24<40",2129,2,NA,"SSC_DEF"
"731","BEL",2012,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",42004,44,NA,"TBB_DEF"
"732","BEL",2012,"27.7.e","MIS_MIS_0_0_0_HC","MIS","10<24",438,2,NA,"MIS_MIS"
"733","BEL",2012,"27.7.e","MIS_MIS_0_0_0_HC","MIS","24<40",1324,2,NA,"MIS_MIS"
"734","BEL",2012,"27.7.e","OTB_CRU_70-99_0_0_all","OTB","24<40",16463,19,NA,"OTB_CRU"
"735","BEL",2012,"27.7.e","SSC_DEF_70-99_0_0_all","SSC","10<24",221,1,NA,"SSC_DEF"
"736","BEL",2012,"27.7.e","SSC_DEF_70-99_0_0_all","SSC","24<40",21058,18,NA,"SSC_DEF"
"737","BEL",2012,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","10<24",4420,20,NA,"TBB_DEF"
"738","BEL",2012,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",86388,80,NA,"TBB_DEF"
"739","NLD",2013,"27.7.b","OTM_DEF","OTM",">=40",681028,96,NA,"OTM_DEF"
"740","NLD",2013,"27.7.c","OTM_DEF","OTM",">=40",1082536,131,NA,"OTM_DEF"
"741","NLD",2013,"27.7.e","OTM_DEF","OTM",">=40",358993,58,NA,"OTM_DEF"
"742","NLD",2013,"27.7.h","OTM_DEF","OTM",">=40",174833,31,NA,"OTM_DEF"
"743","NLD",2013,"27.7.j","OTM_DEF","OTM",">=40",327160,55,NA,"OTM_DEF"
"744","NLD",2013,"27.7.k","OTM_DEF","OTM",">=40",8673,1,NA,"OTM_DEF"
"745","NLD",2013,"27.7.e","PTM_SPF_32-69_0_0","PTM",">=40",58190,27,NA,"PTM_SPF"
"746","NLD",2013,"27.7.h","PTM_SPF_32-69_0_0","PTM",">=40",79379,37,NA,"PTM_SPF"
"747","NLD",2013,"27.7.e","SDN_DEF_70-99_0_0","SDN","24<40",7621,15,NA,"SDN_DEF"
"748","NLD",2013,"27.7.e","SSC_DEF_70-99_0_0","SSC","24<40",68068,93,NA,"SSC_DEF"
"749","NLD",2013,"27.7.g","SSC_DEF_70-99_0_0","SSC","24<40",678,1,NA,"SSC_DEF"
"750","NLD",2013,"27.7.b","OTM_DEF","OTM",">=40",16126,1,NA,"OTM_DEF"
"751","NLD",2013,"27.7.c","OTM_DEF","OTM",">=40",48378,3,NA,"OTM_DEF"
"752","NLD",2013,"27.7.j","OTM_DEF","OTM",">=40",616151,65,NA,"OTM_DEF"
"753","NLD",2013,"27.7.e","SSC_DEF_100-119_0_0","SSC","24<40",1569,2,NA,"SSC_DEF"
"754","NLD",2013,"27.7.e","SSC_DEF_70-99_0_0","SSC","24<40",34140,47,NA,"SSC_DEF"
"755","NLD",2013,"27.7.b","OTM_DEF","OTM",">=40",8455,1,NA,"OTM_DEF"
"756","NLD",2013,"27.7.c","OTM_DEF","OTM",">=40",8455,1,NA,"OTM_DEF"
"757","NLD",2013,"27.7.e","OTM_DEF","OTM",">=40",358427,66,NA,"OTM_DEF"
"758","NLD",2013,"27.7.g","OTM_DEF","OTM",">=40",10191,1,NA,"OTM_DEF"
"759","NLD",2013,"27.7.e","SSC_DEF_70-99_0_0","SSC","24<40",1431,2,NA,"SSC_DEF"
"760","NLD",2013,"27.7.b","OTM_DEF","OTM",">=40",500085,57,NA,"OTM_DEF"
"761","NLD",2013,"27.7.c","OTM_DEF","OTM",">=40",14010,2,NA,"OTM_DEF"
"762","NLD",2013,"27.7.e","OTM_DEF","OTM",">=40",514038,72,NA,"OTM_DEF"
"763","NLD",2013,"27.7.h","OTM_DEF","OTM",">=40",138509,24,NA,"OTM_DEF"
"764","NLD",2013,"27.7.j","OTM_DEF","OTM",">=40",66452,6,NA,"OTM_DEF"
"765","NLD",2013,"27.7.e","SSC_DEF_70-99_0_0","SSC","24<40",24137,33,NA,"SSC_DEF"
"766","BEL",2013,"27.7","MIS_MIS_0_0_0_HC","MIS","10<24",10074,46,"outFU","MIS_MIS"
"767","BEL",2013,"27.7","GTR_DEF_all_0_0_all","GTR","10<24",8970,15,"outFU","GTR_DEF"
"768","BEL",2013,"27.7","OTB_CRU_70-99_0_0_all","OTB","24<40",7001,10,"outFU","OTB_CRU"
"770","BEL",2013,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",18183,33,"22","OTB_CRU"
"771","BEL",2013,"27.7","SSC_DEF_70-99_0_0_all","SSC","24<40",97644,123,"outFU","SSC_DEF"
