"","Country","Year","Area","Metier","Gear","Vessel_length","kw_days","Days_at_sea","FU","lvl4"
"1","BEL",2009,"27.7","MIS_MIS_0_0_0_HC","MIS","10<24",8541,39,"outFU","MIS_MIS"
"2","BEL",2009,"27.7","MIS_MIS_0_0_0_HC","MIS","24<40",35748,54,"outFU","MIS_MIS"
"3","BEL",2009,"27.7","GNS_DEF_all_0_0_all","GNS","10<24",1350,3,"outFU","GNS_DEF"
"4","BEL",2009,"27.7","GNS_DEF_90-99_0_0_all","GNS","10<24",4950,11,"outFU","GNS_DEF"
"5","BEL",2009,"27.7","GTR_DEF_all_0_0_all","GTR","10<24",2250,5,"outFU","GTR_DEF"
"6","BEL",2009,"27.7","OTB_CRU_70-99_0_0_all","OTB","10<24",5304,24,"outFU","OTB_CRU"
"7","BEL",2009,"27.7","OTB_CRU_70-99_0_0_all","OTB","24<40",3096,4,"outFU","OTB_CRU"
"8","BEL",2009,"27.7.fghj","OTB_CRU_70-99_0_0_all","OTB","24<40",5510,10,"21","OTB_CRU"
"9","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",15428,28,"22","OTB_CRU"
"10","BEL",2009,"27.7","TBB_DEF_70-99_0_0_all","TBB","10<24",146363,663,"outFU","TBB_DEF"
"11","BEL",2009,"27.7","TBB_DEF_70-99_0_0_all","TBB","24<40",1466116,1416,"outFU","TBB_DEF"
"12","BEL",2009,"27.7.agj","TBB_DEF_70-99_0_0_all","TBB","24<40",4515,5,"19","TBB_DEF"
"13","BEL",2009,"27.7.fghj","TBB_DEF_70-99_0_0_all","TBB","24<40",36468,32,"21","TBB_DEF"
"14","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",23106,21,"22","TBB_DEF"
"15","BEL",2009,"27.7","MIS_MIS_0_0_0_HC","MIS","24<40",42368,64,"outFU","MIS_MIS"
"16","BEL",2009,"27.7","GNS_DEF_90-99_0_0_all","GNS","10<24",1350,3,"outFU","GNS_DEF"
"17","BEL",2009,"27.7","GTR_DEF_all_0_0_all","GTR","10<24",3150,7,"outFU","GTR_DEF"
"18","BEL",2009,"27.7","GTR_DEF_all_0_0_all","GTR","10<24",1350,3,"outFU","GTR_DEF"
"19","BEL",2009,"27.7","OTB_CRU_70-99_0_0_all","OTB","10<24",4420,20,"outFU","OTB_CRU"
"20","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","10<24",7735,35,"22","OTB_CRU"
"21","BEL",2009,"27.7","OTB_CRU_70-99_0_0_all","OTB","24<40",12581,16,"outFU","OTB_CRU"
"23","BEL",2009,"27.7.fghj","OTB_CRU_70-99_0_0_all","OTB","24<40",551,1,"21","OTB_CRU"
"24","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",143201,177,"22","OTB_CRU"
"25","BEL",2009,"27.7","TBB_DEF_70-99_0_0_all","TBB","10<24",69280,314,"outFU","TBB_DEF"
"26","BEL",2009,"27.7","TBB_DEF_70-99_0_0_all","TBB","24<40",662485,646,"outFU","TBB_DEF"
"27","BEL",2009,"27.7.agj","TBB_DEF_70-99_0_0_all","TBB","24<40",10848,11,"19","TBB_DEF"
"28","BEL",2009,"27.7.fghj","TBB_DEF_70-99_0_0_all","TBB","24<40",9885,9,"21","TBB_DEF"
"29","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",241376,242,"22","TBB_DEF"
"30","BEL",2009,"27.7","MIS_MIS_0_0_0_HC","MIS","24<40",45016,68,"outFU","MIS_MIS"
"31","BEL",2009,"27.7","OTB_CRU_70-99_0_0_all","OTB","10<24",884,4,"outFU","OTB_CRU"
"32","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","10<24",1105,5,"22","OTB_CRU"
"33","BEL",2009,"27.7","OTB_CRU_70-99_0_0_all","OTB","24<40",36127,47,"outFU","OTB_CRU"
"35","BEL",2009,"27.7.fghj","OTB_CRU_70-99_0_0_all","OTB","24<40",551,1,"21","OTB_CRU"
"36","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",175815,201,"22","OTB_CRU"
"37","BEL",2009,"27.7.g","TBB_DEF_100-119_0_0_all","TBB","24<40",2400,2,"22","TBB_DEF"
"38","BEL",2009,"27.7","TBB_DEF_70-99_0_0_all","TBB","10<24",44979,204,"outFU","TBB_DEF"
"39","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","10<24",3085,14,"22","TBB_DEF"
"40","BEL",2009,"27.7","TBB_DEF_70-99_0_0_all","TBB","24<40",364982,362,"outFU","TBB_DEF"
"41","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",255005,250,"22","TBB_DEF"
"42","BEL",2009,"27.7","MIS_MIS_0_0_0_HC","MIS","10<24",10512,48,"outFU","MIS_MIS"
"43","BEL",2009,"27.7","MIS_MIS_0_0_0_HC","MIS","24<40",33100,50,"outFU","MIS_MIS"
"44","BEL",2009,"27.7","GNS_DEF_90-99_0_0_all","GNS","10<24",10350,23,"outFU","GNS_DEF"
"45","BEL",2009,"27.7","OTB_CRU_70-99_0_0_all","OTB","24<40",41439,53,"outFU","OTB_CRU"
"46","BEL",2009,"27.7.fghj","OTB_CRU_70-99_0_0_all","OTB","24<40",551,1,"21","OTB_CRU"
"47","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",42658,66,"22","OTB_CRU"
"48","BEL",2009,"27.7","MIS_MIS_0_0_0_HC","MIS","24<40",5574,6,"outFU","MIS_MIS"
"49","BEL",2009,"27.7","MIS_MIS_0_0_0_HC","MIS","24<40",3716,4,"outFU","MIS_MIS"
"50","BEL",2009,"27.7","TBB_CRU_16-31_0_0_all","TBB","10<24",884,4,"outFU","TBB_CRU"
"51","BEL",2009,"27.7","TBB_DEF_70-99_0_0_all","TBB","10<24",105274,477,"outFU","TBB_DEF"
"52","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","10<24",1105,5,"22","TBB_DEF"
"53","BEL",2009,"27.7","TBB_DEF_70-99_0_0_all","TBB","24<40",717260,677,"outFU","TBB_DEF"
"54","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",214228,205,"22","TBB_DEF"
"55","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",20938,38,NA,"OTB_CRU"
"56","BEL",2009,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","10<24",1547,7,NA,"TBB_DEF"
"57","BEL",2009,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",90287,86,NA,"TBB_DEF"
"58","BEL",2009,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","24<40",137517,124,NA,"TBB_DEF"
"59","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",64089,58,NA,"TBB_DEF"
"60","BEL",2009,"27.7.h","TBB_DEF_70-99_0_0_all","TBB","24<40",1147,1,NA,"TBB_DEF"
"61","BEL",2009,"27.7.e","MIS_MIS_0_0_0_HC","MIS","24<40",29128,44,NA,"MIS_MIS"
"62","BEL",2009,"27.7.e","OTB_CRU_70-99_0_0_all","OTB","10<24",442,2,NA,"OTB_CRU"
"63","BEL",2009,"27.7.f","OTB_CRU_70-99_0_0_all","OTB","10<24",2873,13,NA,"OTB_CRU"
"64","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","10<24",7735,35,NA,"OTB_CRU"
"65","BEL",2009,"27.7.f","OTB_CRU_70-99_0_0_all","OTB","24<40",5993,8,NA,"OTB_CRU"
"66","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",143752,178,NA,"OTB_CRU"
"67","BEL",2009,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","10<24",8154,37,NA,"TBB_DEF"
"68","BEL",2009,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",51584,48,NA,"TBB_DEF"
"69","BEL",2009,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","24<40",443676,424,NA,"TBB_DEF"
"70","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",261447,261,NA,"TBB_DEF"
"71","BEL",2009,"27.7.e","MIS_MIS_0_0_0_HC","MIS","24<40",41044,62,NA,"MIS_MIS"
"72","BEL",2009,"27.7.f","OTB_CRU_70-99_0_0_all","OTB","10<24",884,4,NA,"OTB_CRU"
"73","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","10<24",1105,5,NA,"OTB_CRU"
"74","BEL",2009,"27.7.f","OTB_CRU_70-99_0_0_all","OTB","24<40",35025,45,NA,"OTB_CRU"
"75","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",176366,202,NA,"OTB_CRU"
"76","BEL",2009,"27.7.g","TBB_DEF_100-119_0_0_all","TBB","24<40",2400,2,NA,"TBB_DEF"
"77","BEL",2009,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","10<24",221,1,NA,"TBB_DEF"
"78","BEL",2009,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","10<24",4614,21,NA,"TBB_DEF"
"79","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","10<24",3085,14,NA,"TBB_DEF"
"80","BEL",2009,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",88077,80,NA,"TBB_DEF"
"81","BEL",2009,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","24<40",92830,89,NA,"TBB_DEF"
"82","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",255005,250,NA,"TBB_DEF"
"83","BEL",2009,"27.7.h","TBB_DEF_70-99_0_0_all","TBB","24<40",1018,1,NA,"TBB_DEF"
"84","BEL",2009,"27.7.f","OTB_CRU_70-99_0_0_all","OTB","24<40",32307,40,NA,"OTB_CRU"
"85","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",43209,67,NA,"OTB_CRU"
"87","BEL",2009,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","10<24",663,3,NA,"TBB_DEF"
"88","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","10<24",1105,5,NA,"TBB_DEF"
"89","BEL",2009,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",50842,45,NA,"TBB_DEF"
"90","BEL",2009,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","24<40",157009,141,NA,"TBB_DEF"
"91","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",214228,205,NA,"TBB_DEF"
"92","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",20938,38,NA,"OTB_CRU"
"93","BEL",2009,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","10<24",1547,7,NA,"TBB_DEF"
"94","BEL",2009,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",90287,86,NA,"TBB_DEF"
"95","BEL",2009,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","24<40",137517,124,NA,"TBB_DEF"
"96","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",64089,58,NA,"TBB_DEF"
"97","BEL",2009,"27.7.h","TBB_DEF_70-99_0_0_all","TBB","24<40",1147,1,NA,"TBB_DEF"
"98","BEL",2009,"27.7.e","MIS_MIS_0_0_0_HC","MIS","24<40",29128,44,NA,"MIS_MIS"
"99","BEL",2009,"27.7.e","OTB_CRU_70-99_0_0_all","OTB","10<24",442,2,NA,"OTB_CRU"
"100","BEL",2009,"27.7.f","OTB_CRU_70-99_0_0_all","OTB","10<24",2873,13,NA,"OTB_CRU"
"101","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","10<24",7735,35,NA,"OTB_CRU"
"102","BEL",2009,"27.7.f","OTB_CRU_70-99_0_0_all","OTB","24<40",5993,8,NA,"OTB_CRU"
"103","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",143752,178,NA,"OTB_CRU"
"104","BEL",2009,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","10<24",8154,37,NA,"TBB_DEF"
"105","BEL",2009,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",51584,48,NA,"TBB_DEF"
"106","BEL",2009,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","24<40",443676,424,NA,"TBB_DEF"
"107","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",261447,261,NA,"TBB_DEF"
"108","BEL",2009,"27.7.e","MIS_MIS_0_0_0_HC","MIS","24<40",41044,62,NA,"MIS_MIS"
"109","BEL",2009,"27.7.f","OTB_CRU_70-99_0_0_all","OTB","10<24",884,4,NA,"OTB_CRU"
"110","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","10<24",1105,5,NA,"OTB_CRU"
"111","BEL",2009,"27.7.f","OTB_CRU_70-99_0_0_all","OTB","24<40",35025,45,NA,"OTB_CRU"
"112","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",176366,202,NA,"OTB_CRU"
"113","BEL",2009,"27.7.g","TBB_DEF_100-119_0_0_all","TBB","24<40",2400,2,NA,"TBB_DEF"
"114","BEL",2009,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","10<24",221,1,NA,"TBB_DEF"
"115","BEL",2009,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","10<24",4614,21,NA,"TBB_DEF"
"116","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","10<24",3085,14,NA,"TBB_DEF"
"117","BEL",2009,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",88077,80,NA,"TBB_DEF"
"118","BEL",2009,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","24<40",92830,89,NA,"TBB_DEF"
"119","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",255005,250,NA,"TBB_DEF"
"120","BEL",2009,"27.7.h","TBB_DEF_70-99_0_0_all","TBB","24<40",1018,1,NA,"TBB_DEF"
"121","BEL",2009,"27.7.f","OTB_CRU_70-99_0_0_all","OTB","24<40",32307,40,NA,"OTB_CRU"
"122","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",43209,67,NA,"OTB_CRU"
"124","BEL",2009,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","10<24",663,3,NA,"TBB_DEF"
"125","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","10<24",1105,5,NA,"TBB_DEF"
"126","BEL",2009,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",50842,45,NA,"TBB_DEF"
"127","BEL",2009,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","24<40",157009,141,NA,"TBB_DEF"
"128","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",214228,205,NA,"TBB_DEF"
"129","BEL",2009,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",90287,86,NA,"TBB_DEF"
"130","BEL",2009,"27.7.e","MIS_MIS_0_0_0_HC","MIS","24<40",29128,44,NA,"MIS_MIS"
"131","BEL",2009,"27.7.e","OTB_CRU_70-99_0_0_all","OTB","10<24",442,2,NA,"OTB_CRU"
"132","BEL",2009,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",51584,48,NA,"TBB_DEF"
"133","BEL",2009,"27.7.e","MIS_MIS_0_0_0_HC","MIS","24<40",41044,62,NA,"MIS_MIS"
"134","BEL",2009,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","10<24",221,1,NA,"TBB_DEF"
"135","BEL",2009,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",88077,80,NA,"TBB_DEF"
"136","BEL",2009,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",50842,45,NA,"TBB_DEF"
"137","NLD",2010,"27.7.e","LHP_FIF_0_0_0","LHP","24<40",8908,12,NA,"LHP_FIF"
"138","NLD",2010,"27.7.j","OTM_DEF_32-54_0_0","OTM",">=40",43656,7,NA,"OTM_DEF"
"139","NLD",2010,"27.7.b","OTM_DEF_32-69_0_0","OTM",">=40",478402,60,NA,"OTM_DEF"
"140","NLD",2010,"27.7.c","OTM_DEF_32-69_0_0","OTM",">=40",1203741,147,NA,"OTM_DEF"
"141","NLD",2010,"27.7.e","OTM_DEF_32-69_0_0","OTM",">=40",29260,7,NA,"OTM_DEF"
"142","NLD",2010,"27.7.h","OTM_DEF_32-69_0_0","OTM",">=40",17957,3,NA,"OTM_DEF"
"143","NLD",2010,"27.7.j","OTM_DEF_32-69_0_0","OTM",">=40",751675,166,NA,"OTM_DEF"
"144","NLD",2010,"27.7.k","OTM_DEF_32-69_0_0","OTM",">=40",66548,11,NA,"OTM_DEF"
"145","NLD",2010,"27.7.e","PTM_SPF_32-69_0_0","PTM",">=40",3674,2,NA,"PTM_SPF"
"146","NLD",2010,"27.7.j","PTM_SPF_32-69_0_0","PTM",">=40",138857,65,NA,"PTM_SPF"
"147","NLD",2010,"27.7.e","SSC_DEF_0_0_0","SSC","24<40",4808,7,NA,"SSC_DEF"
"148","NLD",2010,"27.7.e","SSC_DEF_70-99_0_0","SSC","24<40",131761,186,NA,"SSC_DEF"
"149","NLD",2010,"27.7.h","SSC_DEF_70-99_0_0","SSC","24<40",1551,2,NA,"SSC_DEF"
"150","NLD",2010,"27.7.e","DRB_MOL_0_0_0","DRB","24<40",39662,36,NA,"DRB_MOL"
"151","NLD",2010,"27.7.j","OTM_DEF_>=120_0_0","OTM",">=40",51162,14,NA,"OTM_DEF"
"152","NLD",2010,"27.7.b","OTM_DEF_32-54_0_0","OTM",">=40",10914,2,NA,"OTM_DEF"
"153","NLD",2010,"27.7.j","OTM_DEF_32-54_0_0","OTM",">=40",10914,2,NA,"OTM_DEF"
"154","NLD",2010,"27.7.c","OTM_DEF_32-69_0_0","OTM",">=40",19165,5,NA,"OTM_DEF"
"155","NLD",2010,"27.7.j","OTM_DEF_32-69_0_0","OTM",">=40",511945,111,NA,"OTM_DEF"
"156","NLD",2010,"27.7.k","OTM_DEF_32-69_0_0","OTM",">=40",2996,1,NA,"OTM_DEF"
"157","NLD",2010,"27.7.j","PTM_SPF_32-69_0_0","PTM",">=40",179695,85,NA,"PTM_SPF"
"158","NLD",2010,"27.7.e","SSC_DEF_100-119_0_0","SSC","24<40",8143,11,NA,"SSC_DEF"
"159","NLD",2010,"27.7.e","SSC_DEF_70-99_0_0","SSC","24<40",58059,79,NA,"SSC_DEF"
"160","NLD",2010,"27.7.e","DRB_MOL_0_0_0","DRB","24<40",29230,26,NA,"DRB_MOL"
"161","NLD",2010,"27.7.e","OTM_DEF_0_0_0","OTM",">=40",19095,3,NA,"OTM_DEF"
"162","NLD",2010,"27.7.h","OTM_DEF_0_0_0","OTM",">=40",95476,13,NA,"OTM_DEF"
"163","NLD",2010,"27.7.e","OTM_DEF_32-69_0_0","OTM",">=40",200545,63,NA,"OTM_DEF"
"164","NLD",2010,"27.7.h","OTM_DEF_32-69_0_0","OTM",">=40",3657,1,NA,"OTM_DEF"
"165","NLD",2010,"27.7.j","OTM_DEF_32-69_0_0","OTM",">=40",4913,1,NA,"OTM_DEF"
"166","NLD",2010,"27.7.e","PTM_SPF_32-69_0_0","PTM",">=40",14122,7,NA,"PTM_SPF"
"167","NLD",2010,"27.7.h","PTM_SPF_32-69_0_0","PTM",">=40",7061,3,NA,"PTM_SPF"
"168","NLD",2010,"27.7.e","SSC_DEF_70-99_0_0","SSC","24<40",1858,3,NA,"SSC_DEF"
"169","NLD",2010,"27.7.e","LHP_FIF_0_0_0","LHP","24<40",2900,4,NA,"LHP_FIF"
"170","NLD",2010,"27.7.b","MIS_UND_UND_0_0","MIS",">=40",17487,2,NA,"MIS_UND"
"171","NLD",2010,"27.7.j","MIS_UND_UND_0_0","MIS",">=40",8744,1,NA,"MIS_UND"
"172","NLD",2010,"27.7.e","MIS_UND_UND_0_0","MIS","24<40",7704,12,NA,"MIS_UND"
"173","NLD",2010,"27.7.e","OTM_DEF_0_0_0","OTM",">=40",76381,11,NA,"OTM_DEF"
"174","NLD",2010,"27.7.h","OTM_DEF_0_0_0","OTM",">=40",114571,16,NA,"OTM_DEF"
"175","NLD",2010,"27.7.b","OTM_DEF_32-69_0_0","OTM",">=40",298461,47,NA,"OTM_DEF"
"176","NLD",2010,"27.7.c","OTM_DEF_32-69_0_0","OTM",">=40",940312,123,NA,"OTM_DEF"
"177","NLD",2010,"27.7.e","OTM_DEF_32-69_0_0","OTM",">=40",291200,53,NA,"OTM_DEF"
"178","NLD",2010,"27.7.g","OTM_DEF_32-69_0_0","OTM",">=40",4989,2,NA,"OTM_DEF"
"179","NLD",2010,"27.7.h","OTM_DEF_32-69_0_0","OTM",">=40",483847,68,NA,"OTM_DEF"
"180","NLD",2010,"27.7.j","OTM_DEF_32-69_0_0","OTM",">=40",8202,1,NA,"OTM_DEF"
"181","NLD",2010,"27.7.e","PTM_SPF_32-69_0_0","PTM",">=40",65422,31,NA,"PTM_SPF"
"182","NLD",2010,"27.7.h","PTM_SPF_32-69_0_0","PTM",">=40",14122,7,NA,"PTM_SPF"
"183","NLD",2010,"27.7.e","SSC_DEF_70-99_0_0","SSC","24<40",27320,38,NA,"SSC_DEF"
"184","NLD",2010,"27.7.j","SSC_DEF_70-99_0_0","SSC","24<40",634,1,NA,"SSC_DEF"
"185","NLD",2010,"27.7.k","TBB_DEF_70-99_0_0","TBB",">=40",1482,1,NA,"TBB_DEF"
"186","BEL",2010,"27.7","MIS_MIS_0_0_0_HC","MIS","10<24",7227,33,"outFU","MIS_MIS"
"187","BEL",2010,"27.7","MIS_MIS_0_0_0_HC","MIS","24<40",34424,52,"outFU","MIS_MIS"
"188","BEL",2010,"27.7","GNS_DEF_90-99_0_0_all","GNS","10<24",6300,14,"outFU","GNS_DEF"
"189","BEL",2010,"27.7","OTB_CRU_70-99_0_0_all","OTB","10<24",11531,13,"outFU","OTB_CRU"
"190","BEL",2010,"27.7","OTB_CRU_70-99_0_0_all","OTB","24<40",11329,17,"outFU","OTB_CRU"
"191","BEL",2010,"27.7.fghj","OTB_CRU_70-99_0_0_all","OTB","24<40",4408,8,"21","OTB_CRU"
"192","BEL",2010,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",29524,44,"22","OTB_CRU"
"193","BEL",2010,"27.7","SSC_DEF_70-99_0_0_all","SSC","24<40",45521,49,"outFU","SSC_DEF"
"194","BEL",2010,"27.7","TBB_DEF_70-99_0_0_all","TBB","10<24",166222,753,"outFU","TBB_DEF"
"195","BEL",2010,"27.7","TBB_DEF_70-99_0_0_all","TBB","24<40",1201631,1128,"outFU","TBB_DEF"
"197","BEL",2010,"27.7.fghj","TBB_DEF_70-99_0_0_all","TBB","24<40",39660,35,"21","TBB_DEF"
"198","BEL",2010,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",63901,59,"22","TBB_DEF"
"199","BEL",2010,"27.7","MIS_MIS_0_0_0_HC","MIS","24<40",36410,55,"outFU","MIS_MIS"
"200","BEL",2010,"27.7","GTR_DEF_all_0_0_all","GTR","10<24",900,2,"outFU","GTR_DEF"
"201","BEL",2010,"27.7","GTR_DEF_all_0_0_all","GTR","10<24",3150,7,"outFU","GTR_DEF"
"202","BEL",2010,"27.7","OTB_CRU_70-99_0_0_all","OTB","10<24",8646,12,"outFU","OTB_CRU"
"203","BEL",2010,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","10<24",8864,16,"22","OTB_CRU"
"204","BEL",2010,"27.7","OTB_CRU_70-99_0_0_all","OTB","24<40",9914,13,"outFU","OTB_CRU"
"206","BEL",2010,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",88381,121,"22","OTB_CRU"
"207","BEL",2010,"27.7","SSC_DEF_70-99_0_0_all","SSC","24<40",22296,24,"outFU","SSC_DEF"
"208","BEL",2010,"27.7","TBB_DEF_70-99_0_0_all","TBB","10<24",78829,357,"outFU","TBB_DEF"
"209","BEL",2010,"27.7.agj","TBB_DEF_70-99_0_0_all","TBB","10<24",442,2,"19","TBB_DEF"
"210","BEL",2010,"27.7.fghj","TBB_DEF_70-99_0_0_all","TBB","10<24",221,1,"21","TBB_DEF"
"211","BEL",2010,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","10<24",663,3,"22","TBB_DEF"
"212","BEL",2010,"27.7","TBB_DEF_70-99_0_0_all","TBB","24<40",554759,521,"outFU","TBB_DEF"
"213","BEL",2010,"27.7.agj","TBB_DEF_70-99_0_0_all","TBB","24<40",2122,2,"19","TBB_DEF"
"214","BEL",2010,"27.7.fghj","TBB_DEF_70-99_0_0_all","TBB","24<40",10950,11,"21","TBB_DEF"
"215","BEL",2010,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",276642,260,"22","TBB_DEF"
"216","BEL",2010,"27.7","MIS_MIS_0_0_0_HC","MIS","24<40",50312,76,"outFU","MIS_MIS"
"217","BEL",2010,"27.7","GTR_DEF_all_0_0_all","GTR","10<24",1800,4,"outFU","GTR_DEF"
"218","BEL",2010,"27.7","OTB_CRU_70-99_0_0_all","OTB","10<24",10402,32,"outFU","OTB_CRU"
"220","BEL",2010,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","10<24",7514,34,"22","OTB_CRU"
"221","BEL",2010,"27.7","OTB_CRU_70-99_0_0_all","OTB","24<40",41546,54,"outFU","OTB_CRU"
"222","BEL",2010,"27.7.agj","OTB_CRU_70-99_0_0_all","OTB","24<40",551,1,"19","OTB_CRU"
"223","BEL",2010,"27.7.fghj","OTB_CRU_70-99_0_0_all","OTB","24<40",551,1,"21","OTB_CRU"
"224","BEL",2010,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",116406,159,"22","OTB_CRU"
"225","BEL",2010,"27.7","SSC_DEF_70-99_0_0_all","SSC","24<40",10219,11,"outFU","SSC_DEF"
"226","BEL",2010,"27.7","TBB_DEF_70-99_0_0_all","TBB","10<24",74383,337,"outFU","TBB_DEF"
"227","BEL",2010,"27.7","TBB_DEF_70-99_0_0_all","TBB","24<40",224401,222,"outFU","TBB_DEF"
"228","BEL",2010,"27.7.fghj","TBB_DEF_70-99_0_0_all","TBB","24<40",6878,7,"21","TBB_DEF"
"229","BEL",2010,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",334142,299,"22","TBB_DEF"
"230","BEL",2010,"27.7","MIS_MIS_0_0_0_HC","MIS","10<24",11388,52,"outFU","MIS_MIS"
"231","BEL",2010,"27.7","MIS_MIS_0_0_0_HC","MIS","24<40",16550,25,"outFU","MIS_MIS"
"232","BEL",2010,"27.7","GNS_DEF_90-99_0_0_all","GNS","10<24",2948,4,"outFU","GNS_DEF"
"233","BEL",2010,"27.7","GTR_DEF_all_0_0_all","GTR","10<24",12600,28,"outFU","GTR_DEF"
"234","BEL",2010,"27.7","OTB_CRU_70-99_0_0_all","OTB","10<24",7078,26,"outFU","OTB_CRU"
"235","BEL",2010,"27.7","OTB_CRU_70-99_0_0_all","OTB","24<40",5906,8,"outFU","OTB_CRU"
"237","BEL",2010,"27.7.fghj","OTB_CRU_70-99_0_0_all","OTB","24<40",551,1,"21","OTB_CRU"
"238","BEL",2010,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",43505,77,"22","OTB_CRU"
"239","BEL",2010,"27.7","SSC_DEF_100-119_0_0_all","SSC","24<40",10219,11,"outFU","SSC_DEF"
"240","BEL",2010,"27.7","SSC_DEF_70-99_0_0_all","SSC","24<40",25083,27,"outFU","SSC_DEF"
