FishStock,Year,var,value,Advice.Year
COD,1977,SSB,8841,2017
COD,1978,SSB,9689,2017
COD,1979,SSB,9848,2017
COD,1980,SSB,10347,2017
COD,1981,SSB,11212,2017
COD,1982,SSB,13547,2017
COD,1983,SSB,13008,2017
COD,1984,SSB,9568,2017
COD,1985,SSB,13103,2017
COD,1986,SSB,13692,2017
COD,1987,SSB,11364,2017
COD,1988,SSB,16607,2017
COD,1989,SSB,26324,2017
COD,1990,SSB,19126,2017
COD,1991,SSB,10846,2017
COD,1992,SSB,9074,2017
COD,1993,SSB,12281,2017
COD,1994,SSB,14360,2017
COD,1995,SSB,13027,2017
COD,1996,SSB,15916,2017
COD,1997,SSB,14101,2017
COD,1998,SSB,12590,2017
COD,1999,SSB,10985,2017
COD,2000,SSB,7673,2017
COD,2001,SSB,8590,2017
COD,2002,SSB,10858,2017
COD,2003,SSB,8873,2017
COD,2004,SSB,4641,2017
COD,2005,SSB,3397,2017
COD,2006,SSB,3769,2017
COD,2007,SSB,5121,2017
COD,2008,SSB,5455,2017
COD,2009,SSB,5092,2017
COD,2010,SSB,4956,2017
COD,2011,SSB,9064,2017
COD,2012,SSB,13628,2017
COD,2013,SSB,9604,2017
COD,2014,SSB,4929,2017
COD,2015,SSB,5327,2017
COD,2016,SSB,7043,2017
COD,2017,SSB,7140,2017
COD,1971,F,0.56,2017
COD,1972,F,0.52,2017
COD,1973,F,0.54,2017
COD,1974,F,0.38,2017
COD,1975,F,0.68,2017
COD,1976,F,0.55,2017
COD,1977,F,0.35,2017
COD,1978,F,0.36,2017
COD,1979,F,0.47,2017
COD,1980,F,0.69,2017
COD,1981,F,0.81,2017
COD,1982,F,0.64,2017
COD,1983,F,0.83,2017
COD,1984,F,0.53,2017
COD,1985,F,0.54,2017
COD,1986,F,0.79,2017
COD,1987,F,0.81,2017
COD,1988,F,0.64,2017
COD,1989,F,0.82,2017
COD,1990,F,0.86,2017
COD,1991,F,0.98,2017
