X,year,scenario,fleet,metier,effshare,effort,efmet,gear,Country,Fleet
25,2017,baseline,IE_Beam_24<40m,OTH,0.006156554,1712.159,10.541,OTH,IE,Beam_24<40m
26,2017,baseline,IE_Beam_24<40m,TBB_DEF_27.7.g,0.993843446,1712.159,1701.618,TBB_DEF_27,IE,Beam_24<40m
27,2017,baseline,IE_Otter_10<24m,OTB_DEF_27.7.g,0.321756329,11936.076,3840.508,OTB_DEF_27,IE,Otter_10<24m
28,2017,baseline,IE_Otter_10<24m,OTB_DEF_27.7.j,0.170615033,11936.076,2036.474,OTB_DEF_27,IE,Otter_10<24m
29,2017,baseline,IE_Otter_10<24m,OTH,0.460695961,11936.076,5498.902,OTH,IE,Otter_10<24m
30,2017,baseline,IE_Otter_10<24m,SSC_DEF_27.7.g,0.046932677,11936.076,560.192,SSC_DEF_27,IE,Otter_10<24m
31,2017,baseline,IE_Otter_24<40m,OTB_DEF_27.7.b,0.056079913,8992.061,504.274,OTB_DEF_27,IE,Otter_24<40m
32,2017,baseline,IE_Otter_24<40m,OTB_DEF_27.7.g,0.181866871,8992.061,1635.358,OTB_DEF_27,IE,Otter_24<40m
33,2017,baseline,IE_Otter_24<40m,OTH,0.762053216,8992.061,6852.429,OTH,IE,Otter_24<40m
35,2017,baseline,SP_Static_24<40m,OTH,1,354.49814,354.49814,OTH,SP,Static_24<40m
36,2017,baseline,SP_Static_all,LLS_DEF_27.7.c,0.102849071,2686.725953,276.3272684,LLS_DEF_27,SP,Static_all
37,2017,baseline,SP_Static_all,LLS_DEF_27.7.j,0.710490245,2686.725953,1908.892582,LLS_DEF_27,SP,Static_all
38,2017,baseline,SP_Static_all,OTH,0.186660684,2686.725953,501.506103,OTH,SP,Static_all
39,2019,max,BE_Beam_10<24m,OTH,1,231.6097079,231.6097079,OTH,BE,Beam_10<24m
40,2019,max,BE_Beam_24<40m,OTH,0.68118469,10502.16209,7153.912025,OTH,BE,Beam_24<40m
41,2019,max,BE_Beam_24<40m,TBB_DEF_27.7.g,0.31881531,10502.16209,3348.250064,TBB_DEF_27,BE,Beam_24<40m
42,2019,max,BE_Otter_24<40m,OTH,1,652.7509221,652.7509221,OTH,BE,Otter_24<40m
43,2019,max,EN_Beam_10<24m,OTH,1,1037.24131,1037.24131,OTH,EN,Beam_10<24m
44,2019,max,EN_Beam_24<40m,OTH,1,3287.53843,3287.53843,OTH,EN,Beam_24<40m
45,2019,max,EN_Other_all,OTH,1,3542.829087,3542.829087,OTH,EN,Other_all
46,2019,max,EN_Otter_<10m,OTH,1,426.61262,426.61262,OTH,EN,Otter_<10m
47,2019,max,EN_Otter_10<24m,OTH,1,2370.029856,2370.029856,OTH,EN,Otter_10<24m
48,2019,max,EN_Otter_24<40m,OTB_DEF_27.7.j,0.484364995,1697.968157,822.4363382,OTB_DEF_27,EN,Otter_24<40m
49,2019,max,EN_Otter_24<40m,OTH,0.515635005,1697.968157,875.5318188,OTH,EN,Otter_24<40m
50,2019,max,EN_Static_all,OTH,1,3876.251525,3876.251525,OTH,EN,Static_all
51,2019,max,FR_Other_all,OTH,1,12042.15946,12042.15946,OTH,FR,Other_all
52,2019,max,FR_Otter_10<24m,OTB_DEF_27.7.e,0.239316749,14591.21681,3491.922575,OTB_DEF_27,FR,Otter_10<24m
53,2019,max,FR_Otter_10<24m,OTB_DEF_27.7.h,0.084970794,14591.21681,1239.827271,OTB_DEF_27,FR,Otter_10<24m
54,2019,max,FR_Otter_10<24m,OTH,0.675712457,14591.21681,9859.46696,OTH,FR,Otter_10<24m
55,2019,max,FR_Otter_24<40m,OTB_DEF_27.7.e,0.175921897,15905.21211,2798.075091,OTB_DEF_27,FR,Otter_24<40m
56,2019,max,FR_Otter_24<40m,OTB_DEF_27.7.g,0.049938315,15905.21211,794.2794979,OTB_DEF_27,FR,Otter_24<40m
57,2019,max,FR_Otter_24<40m,OTB_DEF_27.7.h,0.17686027,15905.21211,2813.000103,OTB_DEF_27,FR,Otter_24<40m
58,2019,max,FR_Otter_24<40m,OTB_DEF_27.7.j,0.206043995,15905.21211,3277.173449,OTB_DEF_27,FR,Otter_24<40m
59,2019,max,FR_Otter_24<40m,OTH,0.391235523,15905.21211,6222.683973,OTH,FR,Otter_24<40m
60,2019,max,FR_Otter_all,OTH,0.85674909,4327.435,3707.526,OTH,FR,Otter_all
61,2019,max,FR_Otter_all,OTT_DEF_27.7.g,0.14325091,4327.435,619.909,OTT_DEF_27,FR,Otter_all
62,2019,max,IE_Beam_10<24m,OTH,1,414.1214543,414.1214543,OTH,IE,Beam_10<24m
63,2019,max,IE_Beam_24<40m,OTH,0.006156554,1880.388295,11.5767128,OTH,IE,Beam_24<40m
64,2019,max,IE_Beam_24<40m,TBB_DEF_27.7.g,0.993843446,1880.388295,1868.811582,TBB_DEF_27,IE,Beam_24<40m
65,2019,max,IE_Otter_10<24m,OTB_DEF_27.7.g,0.321756329,12313.9614,3962.095019,OTB_DEF_27,IE,Otter_10<24m
66,2019,max,IE_Otter_10<24m,OTB_DEF_27.7.j,0.170615033,12313.9614,2100.94693,OTB_DEF_27,IE,Otter_10<24m
67,2019,max,IE_Otter_10<24m,OTH,0.460695961,12313.9614,5672.992277,OTH,IE,Otter_10<24m
68,2019,max,IE_Otter_10<24m,SSC_DEF_27.7.g,0.046932677,12313.9614,577.9271734,SSC_DEF_27,IE,Otter_10<24m
69,2019,max,IE_Otter_24<40m,OTB_DEF_27.7.b,0.056079913,9276.741541,520.23886,OTB_DEF_27,IE,Otter_24<40m
