,year,scenario,fleet,metier,effshare,effort,efmet,gear
283,2019,val,FR_Otter_24<40m,OTB_DEF_27.7.e,0.175921897,13228.93085,2327.258614,OTB_DEF_27
284,2019,val,FR_Otter_24<40m,OTB_DEF_27.7.g,0.049938315,13228.93085,660.6305203,OTB_DEF_27
285,2019,val,FR_Otter_24<40m,OTB_DEF_27.7.h,0.17686027,13228.93085,2339.672277,OTB_DEF_27
286,2019,val,FR_Otter_24<40m,OTB_DEF_27.7.j,0.206043995,13228.93085,2725.741766,OTB_DEF_27
287,2019,val,FR_Otter_24<40m,OTH,0.391235523,13228.93085,5175.627675,OTH
288,2019,val,FR_Otter_all,OTH,0.85674909,4002.773306,3429.372389,OTH
289,2019,val,FR_Otter_all,OTT_DEF_27.7.g,0.14325091,4002.773306,573.400917,OTT_DEF_27
290,2019,val,IE_Beam_10<24m,OTH,1,322.9814938,322.9814938,OTH
291,2019,val,IE_Beam_24<40m,OTH,0.006156554,1492.005913,9.185615547,OTH
292,2019,val,IE_Beam_24<40m,TBB_DEF_27.7.g,0.993843446,1492.005913,1482.820298,TBB_DEF_27
293,2019,val,IE_Otter_10<24m,OTB_DEF_27.7.g,0.321756329,9084.578963,2923.02078,OTB_DEF_27
294,2019,val,IE_Otter_10<24m,OTB_DEF_27.7.j,0.170615033,9084.578963,1549.965739,OTB_DEF_27
295,2019,val,IE_Otter_10<24m,OTH,0.460695961,9084.578963,4185.228833,OTH
296,2019,val,IE_Otter_10<24m,SSC_DEF_27.7.g,0.046932677,9084.578963,426.3636105,SSC_DEF_27
297,2019,val,IE_Otter_24<40m,OTB_DEF_27.7.b,0.056079913,6869.05561,385.2160421,OTB_DEF_27
298,2019,val,IE_Otter_24<40m,OTB_DEF_27.7.g,0.181866871,6869.05561,1249.253652,OTB_DEF_27
299,2019,val,IE_Otter_24<40m,OTH,0.762053216,6869.05561,5234.585916,OTH
301,2019,val,SP_Static_24<40m,OTH,1,293.7417341,293.7417341,OTH
302,2019,val,SP_Static_all,LLS_DEF_27.7.c,0.102849071,2226.501439,228.9936046,LLS_DEF_27
303,2019,val,SP_Static_all,LLS_DEF_27.7.j,0.710490245,2226.501439,1581.907554,LLS_DEF_27
304,2019,val,SP_Static_all,OTH,0.186660684,2226.501439,415.6002805,OTH
