,year,stock,country,scenario,share
186,2019,WHG-CS,IE,cod-cs,0
187,2019,WHG-CS,OT,cod-cs,0
188,2019,WHG-CS,SP,cod-cs,0
189,2019,COD-CS,BE,had-cs,0.027480428
190,2019,COD-CS,EN,had-cs,0.083512518
191,2019,COD-CS,FR,had-cs,0.591556593
192,2019,COD-CS,IE,had-cs,0.272062898
193,2019,COD-CS,OT,had-cs,0.025387562
194,2019,COD-CS,SP,had-cs,0
195,2019,HAD-CS,BE,had-cs,0.014354082
196,2019,HAD-CS,EN,had-cs,0.081555564
197,2019,HAD-CS,FR,had-cs,0.589421895
198,2019,HAD-CS,IE,had-cs,0.254968507
199,2019,HAD-CS,OT,had-cs,0.059680934
200,2019,HAD-CS,SP,had-cs,1.90E-05
201,2019,MON-CS,BE,had-cs,0.059458689
202,2019,MON-CS,EN,had-cs,0.178887483
203,2019,MON-CS,FR,had-cs,0.518192991
204,2019,MON-CS,IE,had-cs,0.194862342
205,2019,MON-CS,OT,had-cs,0.048498295
206,2019,MON-CS,SP,had-cs,0.000100201
207,2019,N-HKE,BE,had-cs,0.00584163
208,2019,N-HKE,EN,had-cs,0.038988197
209,2019,N-HKE,FR,had-cs,0.075729043
210,2019,N-HKE,IE,had-cs,0.079876901
211,2019,N-HKE,OT,had-cs,0.682201155
212,2019,N-HKE,SP,had-cs,0.117363074
213,2019,N-MEG,BE,had-cs,0.033927047
214,2019,N-MEG,EN,had-cs,0.090665968
215,2019,N-MEG,FR,had-cs,0.283457586
216,2019,N-MEG,IE,had-cs,0.543202426
217,2019,N-MEG,OT,had-cs,0.048742993
218,2019,N-MEG,SP,had-cs,3.98E-06
219,2019,SOL-7E,BE,had-cs,0.094471451
220,2019,SOL-7E,EN,had-cs,0.719434877
221,2019,SOL-7E,FR,had-cs,0.172144978
222,2019,SOL-7E,IE,had-cs,0.000328268
223,2019,SOL-7E,OT,had-cs,0.013620426
224,2019,SOL-7E,SP,had-cs,0
225,2019,SOL-7FG,BE,had-cs,0.639212423
226,2019,SOL-7FG,EN,had-cs,0.185991576
227,2019,SOL-7FG,FR,had-cs,0.082554082
228,2019,SOL-7FG,IE,had-cs,0.091915941
229,2019,SOL-7FG,OT,had-cs,0.000325978
230,2019,SOL-7FG,SP,had-cs,0
231,2019,WHG-CS,BE,had-cs,0.008874581
232,2019,WHG-CS,EN,had-cs,0.033961333
233,2019,WHG-CS,FR,had-cs,0.483249045
234,2019,WHG-CS,IE,had-cs,0.445014148
235,2019,WHG-CS,OT,had-cs,0.028900893
236,2019,WHG-CS,SP,had-cs,0
237,2019,COD-CS,BE,whg-cs,0.032145299
238,2019,COD-CS,EN,whg-cs,0.068073825
239,2019,COD-CS,FR,whg-cs,0.570926747
240,2019,COD-CS,IE,whg-cs,0.328854129
241,2019,COD-CS,OT,whg-cs,0
242,2019,COD-CS,SP,whg-cs,0
243,2019,HAD-CS,BE,whg-cs,0.015914138
244,2019,HAD-CS,EN,whg-cs,0.144256832
245,2019,HAD-CS,FR,whg-cs,0.546626208
246,2019,HAD-CS,IE,whg-cs,0.293158319
247,2019,HAD-CS,OT,whg-cs,0
248,2019,HAD-CS,SP,whg-cs,4.45E-05
249,2019,MON-CS,BE,whg-cs,0.066919815
250,2019,MON-CS,EN,whg-cs,0.191146209
251,2019,MON-CS,FR,whg-cs,0.513561881
252,2019,MON-CS,IE,whg-cs,0.228133551
253,2019,MON-CS,OT,whg-cs,0
254,2019,MON-CS,SP,whg-cs,0.000238543
255,2019,N-HKE,BE,whg-cs,0.013940004
256,2019,N-HKE,EN,whg-cs,0.049500299
257,2019,N-HKE,FR,whg-cs,0.169771857
258,2019,N-HKE,IE,whg-cs,0.201189276
259,2019,N-HKE,OT,whg-cs,0
260,2019,N-HKE,SP,whg-cs,0.565598564
