fleet,metier,year,stock,L,D,V,metier2,Country,CatchKG
BE_Beam_24<40m,TBB_DEF_27.7.f,2015,HAD,61.845,0,91648.56,TBB_DEF,BE,61845
BE_Beam_24<40m,TBB_DEF_27.7.f,2015,WHG,95.313,77.94363233,99970.64,TBB_DEF,BE,173256.6323
BE_Beam_24<40m,TBB_DEF_27.7.f,2016,COD,50.821,5.516436841,119979.71,TBB_DEF,BE,56337.43684
BE_Beam_24<40m,TBB_DEF_27.7.f,2016,HAD,46.082,64.94644161,61616.76,TBB_DEF,BE,111028.4416
BE_Beam_24<40m,TBB_DEF_27.7.f,2016,WHG,122.727,385.0616852,112141.47,TBB_DEF,BE,507788.6852
BE_Beam_24<40m,TBB_DEF_27.7.f,2017,COD,26.352,2.860414861,63241.13,TBB_DEF,BE,29212.41486
BE_Beam_24<40m,TBB_DEF_27.7.f,2017,HAD,43.217,60.90860568,61951.54,TBB_DEF,BE,104125.6057
BE_Beam_24<40m,TBB_DEF_27.7.f,2017,WHG,40.793,52.77378172,38764.77,TBB_DEF,BE,93566.78172
BE_Beam_24<40m,TBB_DEF_27.7.g,2009,COD,15.298,0,38796.17,TBB_DEF,BE,15298
BE_Beam_24<40m,TBB_DEF_27.7.g,2009,HAD,32.217,0,33192.21,TBB_DEF,BE,32217
BE_Beam_24<40m,TBB_DEF_27.7.g,2009,WHG,9.341,0,7672.06,TBB_DEF,BE,9341
BE_Beam_24<40m,TBB_DEF_27.7.g,2010,COD,15.87,0,42536.45,TBB_DEF,BE,15870
BE_Beam_24<40m,TBB_DEF_27.7.g,2010,HAD,49.258,0,53324.24,TBB_DEF,BE,49258
BE_Beam_24<40m,TBB_DEF_27.7.g,2010,WHG,20.91,0,14095.55,TBB_DEF,BE,20910
BE_Beam_24<40m,TBB_DEF_27.7.g,2011,COD,38.746,0,104642.35,TBB_DEF,BE,38746
BE_Beam_24<40m,TBB_DEF_27.7.g,2011,HAD,88.78,0,95199.47,TBB_DEF,BE,88780
BE_Beam_24<40m,TBB_DEF_27.7.g,2011,WHG,25.274,0,23472.18,TBB_DEF,BE,25274
BE_Beam_24<40m,TBB_DEF_27.7.g,2012,COD,87.697,0,219872.65,TBB_DEF,BE,87697
BE_Beam_24<40m,TBB_DEF_27.7.g,2012,HAD,82.645,0,85559.27,TBB_DEF,BE,82645
BE_Beam_24<40m,TBB_DEF_27.7.g,2012,WHG,39.888,0,41908.21,TBB_DEF,BE,39888
BE_Beam_24<40m,TBB_DEF_27.7.g,2013,COD,66.142,0,152569.67,TBB_DEF,BE,66142
BE_Beam_24<40m,TBB_DEF_27.7.g,2013,HAD,66.752,0,94890.08,TBB_DEF,BE,66752
BE_Beam_24<40m,TBB_DEF_27.7.g,2013,WHG,40.438,0,39182.7,TBB_DEF,BE,40438
BE_Beam_24<40m,TBB_DEF_27.7.g,2014,COD,37.007,0,71314.24,TBB_DEF,BE,37007
BE_Beam_24<40m,TBB_DEF_27.7.g,2014,HAD,17.027,0,22376.8,TBB_DEF,BE,17027
BE_Beam_24<40m,TBB_DEF_27.7.g,2014,WHG,20.935,6.041063874,21571.31,TBB_DEF,BE,26976.06387
BE_Beam_24<40m,TBB_DEF_27.7.g,2015,COD,28.441,0,61906.76,TBB_DEF,BE,28441
BE_Beam_24<40m,TBB_DEF_27.7.g,2015,HAD,34.381,0,57846.97,TBB_DEF,BE,34381
BE_Beam_24<40m,TBB_DEF_27.7.g,2015,WHG,14.213,11.62289341,16969.11,TBB_DEF,BE,25835.89341
BE_Beam_24<40m,TBB_DEF_27.7.g,2016,COD,20.672,0,54672.29,TBB_DEF,BE,20672
BE_Beam_24<40m,TBB_DEF_27.7.g,2016,HAD,19.738,31.71558149,27390.08,TBB_DEF,BE,51453.58149
BE_Beam_24<40m,TBB_DEF_27.7.g,2016,WHG,21.876,17.88942632,23403.44,TBB_DEF,BE,39765.42632
BE_Beam_24<40m,TBB_DEF_27.7.g,2017,COD,48.468,4.282033103,117736.12,TBB_DEF,BE,52750.0331
BE_Beam_24<40m,TBB_DEF_27.7.g,2017,HAD,44.577,71.62759529,69412.35,TBB_DEF,BE,116204.5953
BE_Beam_24<40m,TBB_DEF_27.7.g,2017,WHG,38.368,31.37600608,38838.77,TBB_DEF,BE,69744.00608
BE_Beam_24<40m,TBB_DEF_27.7.h,2009,HAD,0.011,0,11.88,TBB_DEF,BE,11
BE_Beam_24<40m,TBB_DEF_27.7.h,2009,WHG,0.107,0,54,TBB_DEF,BE,107
BE_Beam_24<40m,TBB_DEF_27.7.h,2010,HAD,0.574,0,714.31,TBB_DEF,BE,574
BE_Beam_24<40m,TBB_DEF_27.7.h,2010,WHG,0.035,0,46.61,TBB_DEF,BE,35
BE_Beam_24<40m,TBB_DEF_27.7.h,2011,HAD,0.088,0,83.68,TBB_DEF,BE,88
BE_Beam_24<40m,TBB_DEF_27.7.h,2011,WHG,0.03,0,38.36,TBB_DEF,BE,30
BE_Beam_24<40m,TBB_DEF_27.7.h,2012,WHG,0.109,0,199.12,TBB_DEF,BE,109
BE_Beam_24<40m,TBB_DEF_27.7.h,2013,HAD,0.001,0,4.31,TBB_DEF,BE,1
BE_Beam_24<40m,TBB_DEF_27.7.h,2013,WHG,0.002,0,3.39,TBB_DEF,BE,2
BE_Beam_24<40m,TBB_DEF_27.7.h,2014,HAD,0.229,0,488.88,TBB_DEF,BE,229
BE_Beam_24<40m,TBB_DEF_27.7.h,2014,WHG,0.246,0.070986954,276.25,TBB_DEF,BE,316.986954
BE_Beam_24<40m,TBB_DEF_27.7.h,2015,HAD,3.477,0,5874.07,TBB_DEF,BE,3477
BE_Beam_24<40m,TBB_DEF_27.7.h,2015,WHG,1.265,1.03447247,1380.94,TBB_DEF,BE,2299.47247
BE_Beam_24<40m,TBB_DEF_27.7.h,2016,HAD,3.556,4.787758166,5119.71,TBB_DEF,BE,8343.758166
BE_Beam_24<40m,TBB_DEF_27.7.h,2016,WHG,3.557,2.908789389,2841.39,TBB_DEF,BE,6465.789389
